Title,Year,is_selected,do_finetuning,decision_threshold,Source title
An exploratory study of fault-proneness in evolving aspect-oriented programs,2010,no,,,Proceedings - International Conference on Software Engineering
Assessing traditional and new metrics for object-oriented systems,2010,no,,,Proceedings - International Conference on Software Engineering
Improving the precision of dependence-based defect mining by supervised learning of rule and violation graphs,2010,yes,no,tuned,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
Errors on space software requirements: A field study and application scenarios,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
An efficient method for architecture-based reliability evaluation for evolving systems with changing parameters,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
An object-oriented high-level design-based class cohesion metric,2010,yes,no,,Information and Software Technology
Assessing UML design metrics for predicting fault-prone classes in a Java system,2010,yes,no,,Proceedings - International Conference on Software Engineering
Calibrating probabilistic gui testing models based on experiments and survival analysis,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
FTCloud: A component ranking framework for fault-tolerant cloud applications,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
A novel composite model approach to improve software quality prediction,2010,yes,yes,not applicable,Information and Software Technology
An empirical evaluation of coupling metrics on aspect-oriented programs,2010,no,,,Proceedings - International Conference on Software Engineering
Penalty policies in professional software development practice: A multi-method field study,2010,no,,,Proceedings - International Conference on Software Engineering
A large-scale empirical study of practitioners' use of object-oriented concepts,2010,no,,,Proceedings - International Conference on Software Engineering
Predicting the fix time of bugs,2010,no,,,Proceedings - International Conference on Software Engineering
A pattern-based outlier detection method identifying abnormal attributes in software project data,2010,no,,,Information and Software Technology
Recommending source code examples via API call usages and documentation,2010,no,,,Proceedings - International Conference on Software Engineering
Analysis of execution log files,2010,no,,,Proceedings - International Conference on Software Engineering
A method for forecasting defect backlog in large streamline software development projects and its industrial evaluation,2010,no,,,Information and Software Technology
Assessing the precision of FindBugs by mining Java projects developed at a University,2010,no,,,Proceedings - International Conference on Software Engineering
Clones: What is that smell?,2010,no,,,Proceedings - International Conference on Software Engineering
When process data quality affects the number of bugs: Correlations in software engineering datasets,2010,no,,,Proceedings - International Conference on Software Engineering
An extensive comparison of bug prediction approaches,2010,yes,no,,Proceedings - International Conference on Software Engineering
A large-scale industrial case study on architecture-based software reliability analysis,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
Change profiles of a reused class framework vs. two of its applications,2010,no,,,Information and Software Technology
Transparent combination of expert and measurement data for defect prediction - An industrial case study,2010,yes ,no,,Proceedings - International Conference on Software Engineering
Bridging lightweight and heavyweight task organization: The role of tags in adopting new task categories,2010,no,,,Proceedings - International Conference on Software Engineering
An effort prediction framework for software defect correction,2010,no,,,Information and Software Technology
Collaborative reliability prediction of service-oriented systems,2010,no,,,Proceedings - International Conference on Software Engineering
Exploratory study of a UML metric for fault prediction,2010,yes,no,,Proceedings - International Conference on Software Engineering
Towards pro-active adaptation with confidence: Augmenting service monitoring with online testing,2010,no,,,Proceedings - International Conference on Software Engineering
A Bayesian network approach to assess and predict software quality using activity-based quality models,2010,yes,no,,Information and Software Technology
ICSE 2010 - Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering,2010,no,,,Proceedings - International Conference on Software Engineering
Identifying security bug reports via text mining: An industrial case study,2010,no,,,Proceedings - International Conference on Software Engineering
Is software aging related to software metrics?,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
Problems adopting metrics from other disciplines,2010,no,,,Proceedings - International Conference on Software Engineering
DoDOM: Leveraging DOM invariants for web 2.0 application robustness testing,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
ICSE 2010 - Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering,2010,no,,,Proceedings - International Conference on Software Engineering
A multi-factor software reliability model based on logistic regression,2010,yes,no,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
Characterizing software architecture changes: A systematic review,2010,no,,,Information and Software Technology
Adoption of open source software in software-intensive organizations - A systematic literature review,2010,no,,,Information and Software Technology
Bug-fix time prediction models: Can we do better?,2011,no,,,Proceedings - International Conference on Software Engineering
Combined probability approach and indirect data-driven method for bearing degradation prognostics,2011,no,,,IEEE Transactions on Reliability
A seismology-inspired approach to study change propagation,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
A computational intelligence scheme for the prediction of the daily peak load,2011,no,,,Applied Soft Computing Journal
Multi-model strategy based evidential soft sensor model for predicting evaluation of variables with uncertainty,2011,no,,,Applied Soft Computing Journal
Different strokes for different folks: A case study on software metrics for different defect categories,2011,yes,no,,Proceedings - International Conference on Software Engineering
Toward a metrics suite for source code lexicons,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
"ICSSP'11 - Proceedings of the 2011 International Conference on Software and Systems Process, Co-located with ICSE 2011",2011,no,,,Proceedings - International Conference on Software Engineering
"A prolog-based framework for search, integration and empirical analysis on software evolution data",2011,no,,,Proceedings - International Conference on Software Engineering
"MSR'11: Proceedings of the 8th Working Conference on Mining Software Repositories, Co-located with ICSE 2011",2011,no,,,Proceedings - International Conference on Software Engineering
Structural damage detection using fuzzy cognitive maps and Hebbian learning,2011,no,,,Applied Soft Computing Journal
Mining software repositories using topic models,2011,no,,,Proceedings - International Conference on Software Engineering
Security versus performance bugs: A case study on firefox,2011,no,,,Proceedings - International Conference on Software Engineering
"ICSE 2011 - 33rd International Conference on Software Engineering, Proceedings of the Conference",2011,no,,,Proceedings - International Conference on Software Engineering
Characterizing the differences between pre- and post- release versions of software,2011,no,,,Proceedings - International Conference on Software Engineering
"Ownership, experience and defects: A fine-grained study of authorship",2011,no,,,Proceedings - International Conference on Software Engineering
"Exploring, exposing, and exploiting emails to include human factors in software engineering",2011,no,,,Proceedings - International Conference on Software Engineering
A hybrid feature selection scheme and self-organizing map model for machine health assessment,2011,no,,,Applied Soft Computing Journal
An empirical investigation into the role of API-level refactorings during software evolution,2011,no,,,Proceedings - International Conference on Software Engineering
An integration resolution algorithm for mining multiple branches in version control systems,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
An incremental adaptive neural network model for online noisy data regression and its application to compartment fire studies,2011,no,,,Applied Soft Computing Journal
Optimizing cost and quality by integrating inspection and test processes,2011,no,,,Proceedings - International Conference on Software Engineering
Estimation and analysis of some generalized multiple change-point software reliability models,2011,no,,,IEEE Transactions on Reliability
Factors leading to integration failures in global feature-oriented development: An empirical analysis,2011,no,,,Proceedings - International Conference on Software Engineering
Expanding identifiers to normalize source code vocabulary,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Lifetime decrease of halogen lamps for automotive by duty cycle stress,2011,no,,,IEEE Transactions on Reliability
Defect prediction using social network analysis on issue repositories,2011,yes,no,,Proceedings - International Conference on Software Engineering
Reliability model for step-stress and variable-stress situations,2011,no,,,IEEE Transactions on Reliability
Pragmatic prioritization of software quality assurance efforts,2011,no,,,Proceedings - International Conference on Software Engineering
Empirical evaluation of reliability improvement in an evolving software product line,2011,no,,,Proceedings - International Conference on Software Engineering
Enhancing the classification accuracy by scatter-search-based ensemble approach,2011,no,,,Applied Soft Computing Journal
Mahalanobis-Taguchi system as a multi-sensor based decision making prognostics tool for centrifugal pump failures,2011,no,,,IEEE Transactions on Reliability
Clustered-Hybrid Multilayer Perceptron network for pattern recognition application,2011,no,,,Applied Soft Computing Journal
Probabilistic graphical models in artificial intelligence,2011,no,,,Applied Soft Computing Journal
Recent advances in artificial immune systems: Models and applications,2011,no,,,Applied Soft Computing Journal
Predictions of oil/chemical tanker main design parameters using computational intelligence techniques,2011,no,,,Applied Soft Computing Journal
A generic optimising feature extraction method using multiobjective genetic programming,2011,no,,,Applied Soft Computing Journal
Empirical evaluation of the fault detection effectiveness and test effort efficiency of the automated AOP testing approaches,2011,no,,,Information and Software Technology
A simpler model of software readability,2011,no,,,Proceedings - International Conference on Software Engineering
Six years of systematic literature reviews in software engineering: An updated tertiary study,2011,no,,,Information and Software Technology
Evidence-based software process recovery: A post-doctoral view,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
SE 2 model to support software evolution,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
An OpenGL-based eclipse plug-in for visual debugging,2011,no,,,Proceedings - International Conference on Software Engineering
Application of artificial neural network for predicting weld quality in laser transmission welding of thermoplastics,2011,no,,,Applied Soft Computing Journal
Recovering traceability links between source code and fixed bugs via patch analysis,2011,no,,,Proceedings - International Conference on Software Engineering
An initial study on the use of execution complexity metrics as indicators of software vulnerabilities,2011,no,,,Proceedings - International Conference on Software Engineering
Optimal double route search in a telecommunication network: A telecontrol network application,2011,no,,,IEEE Transactions on Reliability
Yield prediction for integrated circuits manufacturing through hierarchical bayesian modeling of spatial defects,2011,no,,,IEEE Transactions on Reliability
Miler: A toolset for exploring email data,2011,no,,,Proceedings - International Conference on Software Engineering
Identifying method friendships to remove the feature envy bad smell (NIER track),2011,no,,,Proceedings - International Conference on Software Engineering
Is my project's truck factor low? Theoretical and empirical considerations about the truck factor threshold,2011,no,,,Proceedings - International Conference on Software Engineering
Dealing with noise in defect prediction,2011,yes,no,,Proceedings - International Conference on Software Engineering
Gear damage assessment based on cyclic spectral analysis,2011,no,,,IEEE Transactions on Reliability
By no means: A study on aggregating software metrics,2011,no,,,Proceedings - International Conference on Software Engineering
The use of neural network and discrete Fourier transform for real-time evaluation of friction stir welding,2011,no,,,Applied Soft Computing Journal
Do time of day and developer experience affect commit bugginess,2011,no,,,Proceedings - International Conference on Software Engineering
An ant colony optimization algorithm to improve software quality prediction models: Case of class stability,2011,yes,no,,Information and Software Technology
Machine condition classification using deterioration feature extraction and anomaly determination,2011,no,,,IEEE Transactions on Reliability
Modified wavelet neural network in function approximation and its application in prediction of time-series pollution data,2011,no,,,Applied Soft Computing Journal
Code-motion for API migration: Fixing SQL injection vulnerabilities in Java,2011,no,,,Proceedings - International Conference on Software Engineering
Industrial experiences with automated regression testing of a legacy database application,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
An adaptive reliability analysis using path testing for complex component-based software systems,2011,no,,,IEEE Transactions on Reliability
Using source code metrics to predict change-prone Java interfaces,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
An information systems security risk assessment model under uncertain environment,2011,no,,,Applied Soft Computing Journal
Topic-based defect prediction (NIER track),2011,no,,,Proceedings - International Conference on Software Engineering
Fault interaction and its repercussions,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
An empirical analysis of the FixCache algorithm,2011,no,,,Proceedings - International Conference on Software Engineering
"Dynamic hybrid fault modeling and extended evolutionary game theory for reliability, survivability and fault tolerance analyses",2011,no,,,IEEE Transactions on Reliability
Modeling the evolution of topics in source code histories,2011,no,,,Proceedings - International Conference on Software Engineering
"The longitudinal, chronological case study research strategy: A definition, and an example from IBM Hursley Park",2011,no,,,Information and Software Technology
Classification of time-frequency representations based on two-direction 2DLDA for gear fault diagnosis,2011,no,,,Applied Soft Computing Journal
Comparing fine-grained source code changes and code churn for bug prediction,2011,yes,no,,Proceedings - International Conference on Software Engineering
"Impact of test-driven development on productivity, code and tests: A controlled experiment",2011,no,,,Information and Software Technology
The code orb - Supporting contextualized coding via at-a-glance views (NIER track),2011,no,,,Proceedings - International Conference on Software Engineering
Designing reliability demonstration tests for one-shot systems under zero component failures,2011,no,,,IEEE Transactions on Reliability
A practical guide for using statistical tests to assess randomized algorithms in software engineering,2011,no,,,Proceedings - International Conference on Software Engineering
A clustering approach to improving test case prioritization: An industrial case study,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Predicting post-release defects using pre-release field testing results,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Categorizing software applications for maintenance,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Automated metamorphic testing on the analyses of feature models,2011,no,,,Information and Software Technology
In-vehicle network level fault diagnostics using fuzzy inference systems,2011,no,,,Applied Soft Computing Journal
Detecting software modularity violations,2011,no,,,Proceedings - International Conference on Software Engineering
On the extraction of decision support rules from fuzzy predictive models,2011,no,,,Applied Soft Computing Journal
Towards quantitative software reliability assessment in incremental development processes,2011,no,,,Proceedings - International Conference on Software Engineering
"A mutation carol: Past, present and future",2011,no,,,Information and Software Technology
An exploratory study of identifier renamings,2011,no,,,Proceedings - International Conference on Software Engineering
Code hot spot: A tool for extraction and analysis of code change history,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Do comments explain codes adequately? Investigation by text filtering,2011,no,,,Proceedings - International Conference on Software Engineering
Reliability analysis and optimal version-updating for open source software,2011,no,,,Information and Software Technology
Improving traceability link recovery methods through software artifact summarization,2011,no,,,Proceedings - International Conference on Software Engineering
ImpactScale: Quantifying change impact to predict faults in large software systems,2011,yes,yes,,"IEEE International Conference on Software Maintenance, ICSM"
"Parameter tuning, feature selection and weight assignment of features for case-based reasoning by artificial immune system",2011,no,,,Applied Soft Computing Journal
Using mapping studies as the basis for further research - A participant-observer case study,2011,no,,,Information and Software Technology
Improving the applicability of object-oriented class cohesion metrics,2011,no,,,Information and Software Technology
Source code comprehension strategies and metrics to predict comprehension effort in software maintenance and evolution tasks - An empirical study with industry practitioners,2011,no,,,"IEEE International Conference on Software Maintenance, ICSM"
A unified approach for developing software reliability growth models in the presence of imperfect debugging and error generation,2011,no,,,IEEE Transactions on Reliability
Novel classification method for sensitive problems and uneven datasets based on neural networks and fuzzy logic,2011,no,,,Applied Soft Computing Journal
Applying agglomerative hierarchical clustering algorithms to component identification for legacy systems,2011,no,,,Information and Software Technology
A systematic literature review of actionable alert identification techniques for automated static code analysis,2011,no,,,Information and Software Technology
Graph-based analysis and prediction for software evolution,2012,no,,,Proceedings - International Conference on Software Engineering
Privacy and utility for defect prediction: Experiments with MORPH,2012,yes,no,,Proceedings - International Conference on Software Engineering
A history-based matching approach to identification of framework evolution,2012,no,,,Proceedings - International Conference on Software Engineering
Intermittent failure dynamics characterization,2012,no,,,IEEE Transactions on Reliability
Axis: Automatically fixing atomicity violations through solving control constraints,2012,no,,,Proceedings - International Conference on Software Engineering
Extended kalman filter models and resistance spectroscopy for prognostication and health monitoring of leadfree electronics under vibration,2012,no,,,IEEE Transactions on Reliability
Using structural and semantic information to support software refactoring,2012,no,,,Proceedings - International Conference on Software Engineering
Decorrelated feature space and neural nets based framework for failure modes clustering in electronics subjected to mechanical shock,2012,no,,,IEEE Transactions on Reliability
Sequential test for reliability under allowance for target uncertainty,2012,no,,,IEEE Transactions on Reliability
Benefits and challenges of system prognostics,2012,no,,,IEEE Transactions on Reliability
Use of neural network to in situ conditioning of semiconductor plasma processing equipment,2012,no,,,Applied Soft Computing Journal
Modeling customer satisfaction for new product development using a PSO-based ANFIS approach,2012,no,,,Applied Soft Computing Journal
Remaining useful life estimation of critical components with application to bearings,2012,no,,,IEEE Transactions on Reliability
A Kalman filter-based ensemble approach with application to turbine creep prognostics,2012,no,,,IEEE Transactions on Reliability
Inferring developer expertise through defect analysis,2012,no,,,Proceedings - International Conference on Software Engineering
Maintenance decision-making for systems operating under indirect condition monitoring: Value of online information and impact of measurement uncertainty,2012,no,,,IEEE Transactions on Reliability
Methodology and framework for predicting helicopter rolling element bearing failure,2012,no,,,IEEE Transactions on Reliability
Multi-sensor based prediction of metal deposition in pulsed gas metal arc welding using various soft computing models,2012,no,,,Applied Soft Computing Journal
Integration of growing self-organizing map and continuous genetic algorithm for grading lithium-ion battery cells,2012,no,,,Applied Soft Computing Journal
Supporting extract class refactoring in eclipse: The ARIES project,2012,no,,,Proceedings - International Conference on Software Engineering
Application of visual clustering properties of self organizing map in machine-part cell formation,2012,no,,,Applied Soft Computing Journal
Soft computing approach to fault diagnosis of centrifugal pump,2012,no,,,Applied Soft Computing Journal
Two dimensional multi-release software reliability modeling and optimal release planning,2012,no,,,IEEE Transactions on Reliability
Area temperature system monitoring and computing based on adaptive fuzzy logic in wireless sensor networks,2012,no,,,Applied Soft Computing Journal
Connexionist-systems-based long term prediction approaches for prognostics,2012,no,,,IEEE Transactions on Reliability
Developer prioritization in bug repositories,2012,no,,,Proceedings - International Conference on Software Engineering
Nonlinear model identification and adaptive control of CO 2 sequestration process in saline aquifers using artificial neural networks,2012,no,,,Applied Soft Computing Journal
Combining multiple classifiers to quantitatively rank the impact of abnormalities in flight data,2012,no,,,Applied Soft Computing Journal
Survivability evaluation towards attacked WSNs based on stochastic game and continuous-time Markov chain,2012,no,,,Applied Soft Computing Journal
Multi-label software behavior learning,2012,no,,,Proceedings - International Conference on Software Engineering
Enhanced combination modeling method for combustion efficiency in coal-fired boilers,2012,no,,,Applied Soft Computing Journal
Content classification of development emails,2012,no,,,Proceedings - International Conference on Software Engineering
The extended cumulative exposure model (ECEM) and Its application to Oil insulation tests,2012,no,,,IEEE Transactions on Reliability
Development and investigation of efficient artificial bee colony algorithm for numerical function optimization,2012,no,,,Applied Soft Computing Journal
Model fusion using fuzzy aggregation: Special applications to metal properties,2012,no,,,Applied Soft Computing Journal
A genetic algorithm-based rule extraction system,2012,no,,,Applied Soft Computing Journal
An options approach for decision support of systems with prognostic capabilities,2012,no,,,IEEE Transactions on Reliability
Mining input sanitization patterns for predicting SQL injection and cross site scripting vulnerabilities,2012,no,,,Proceedings - International Conference on Software Engineering
Particle filtering for the detection of fault onset time in hybrid dynamic systems with autonomous transitions,2012,no,,,IEEE Transactions on Reliability
Active refinement of clone anomaly reports,2012,no,,,Proceedings - International Conference on Software Engineering
Support Vector Machines for classification and locating faults on transmission lines,2012,no,,,Applied Soft Computing Journal
A dependent model for fault tolerant software systems during debugging,2012,no,,,IEEE Transactions on Reliability
Bug prediction based on fine-grained module histories,2012,yes,no,,Proceedings - International Conference on Software Engineering
Genetic fuzzy system for data-driven soft sensors design,2012,no,,,Applied Soft Computing Journal
Reliability of various 2-out-of-4:G redundant systems with minimal repair,2012,no,,,IEEE Transactions on Reliability
A data-driven failure prognostics method based on mixture of gaussians hidden markov models,2012,no,,,IEEE Transactions on Reliability
Evaluating stratification alternatives to improve software defect prediction,2012,yes,no,,IEEE Transactions on Reliability
Stride: Search-based deterministic replay in polynomial time via bounded linkage,2012,no,,,Proceedings - International Conference on Software Engineering
Does bug prediction support human developers? Findings from a Google case study,2013,yes,no,,Proceedings - International Conference on Software Engineering
A study on developers' perceptions about exception handling bugs,2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Is lines of code a good measure of effort in effort-aware models?,2013,no,,,Information and Software Technology
Estimating software intensity function based on translation-invariant poisson smoothing approach,2013,no,,,IEEE Transactions on Reliability
"A bayesian approach for system reliability analysis with multilevel pass-fail, lifetime and degradation data sets",2013,no,,,IEEE Transactions on Reliability
Can refactoring cyclic dependent components reduce defect-proneness?,2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Learning project management decisions: A case study with case-based reasoning versus data farming,2013,no,,,IEEE Transactions on Software Engineering
Mining software profile across multiple repositories for hierarchical categorization,2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
A study of subgroup discovery approaches for defect prediction,2013,yes,no,,Information and Software Technology
Clustering navigation sequences to create contexts for guiding code navigation,2013,no,,,Journal of Systems and Software
"Determining ""grim reaper"" policies to prevent languishing bugs",2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
"Optimization of adaptation plans for a service-oriented architecture with cost, reliability, availability and performance tradeoff",2013,no,,,Journal of Systems and Software
Predicting SQL injection and cross site scripting vulnerabilities through mining input sanitization patterns,2013,no,,,Information and Software Technology
A study of variability spaces in open source software,2013,no,,,Proceedings - International Conference on Software Engineering
Software architecture optimization methods: A systematic literature review,2013,no,,,IEEE Transactions on Software Engineering
An approach for constructing private storage services as a unified fault-tolerant system,2013,no,,,Journal of Systems and Software
"It's not a bug, it's a feature: How misclassification impacts bug prediction",2013,no,,,Proceedings - International Conference on Software Engineering
LASE: An example-based program transformation tool for locating and applying systematic edits,2013,no,,,Proceedings - International Conference on Software Engineering
Efficient optimization of large probabilistic models,2013,no,,,Journal of Systems and Software
Round-trip support for extra-functional property management in model-driven engineering of embedded systems,2013,no,,,Information and Software Technology
Event logs for the analysis of software failures: A rule-based approach,2013,no,,,IEEE Transactions on Software Engineering
DRONE: Predicting priority of reported bugs by multi-factor analysis,2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Using class imbalance learning for software defect prediction,2013,yes,no,,IEEE Transactions on Reliability
A study of cyclic dependencies on defect profile of software components,2013,no,,,Journal of Systems and Software
Software fault prediction metrics: A systematic literature review,2013,no,,,Information and Software Technology
"How, and why, process metrics are better",2013,yes,no,,Proceedings - International Conference on Software Engineering
Investigating the impact of code smells on system's quality: An empirical study on systems of different application domains,2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Data quality: Some comments on the NASA software defect datasets,2013,no,,,IEEE Transactions on Software Engineering
Modeling optimal release policy under fuzzy paradigm in imperfect debugging environment,2013,no,,,Information and Software Technology
Balancing privacy and utility in cross-company defect prediction,2013,yes,no,,IEEE Transactions on Software Engineering
Categorizing bugs with social networks: A case study on four open source software communities,2013,no,,,Proceedings - International Conference on Software Engineering
Comparing approaches to analyze refactoring activity on software repositories,2013,no,,,Journal of Systems and Software
Software reliability modeling with software metrics data via gaussian processes,2013,no,,,IEEE Transactions on Software Engineering
Predicting bugs using antipatterns,2013,yes,no,,"IEEE International Conference on Software Maintenance, ICSM"
Understanding schema evolution as a basis for database reengineering,2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
An approach to software reliability prediction based on time series modeling,2013,no,,,Journal of Systems and Software
Supporting and accelerating reproducible research in software maintenance using tracelab component library,2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Lase: Locating and applying systematic edits by learning from examples,2013,no,,,Proceedings - International Conference on Software Engineering
Distributed development considered harmful?,2013,no,,,Proceedings - International Conference on Software Engineering
Real-time risk monitoring in business processes: A sensor-based approach,2013,no,,,Journal of Systems and Software
An empirical study on the developers' perception of software coupling,2013,no,,,Proceedings - International Conference on Software Engineering
Ranking and clustering software cost estimation models through a multiple comparisons algorithm,2013,no,,,IEEE Transactions on Software Engineering
Reliability analysis and customized preventive maintenance policies for stents with stochastic dependent competing risk processes,2013,no,,,IEEE Transactions on Reliability
Measuring architecture quality by structure plus history analysis,2013,no,,,Proceedings - International Conference on Software Engineering
Testing techniques selection based on ODC fault types and software metrics,2013,no,,,Journal of Systems and Software
Solidifying the foundations of the cloud for the next generation Software Engineering,2013,no,,,Journal of Systems and Software
Failure risk indicators for a maintenance model based on observable life of industrial components with an application to wind turbines,2013,no,,,IEEE Transactions on Reliability
Code smell detection: Towards a machine learning-based approach,2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Context aware exception handling in business process execution language,2013,no,,,Information and Software Technology
Local versus global lessons for defect prediction and effort estimation,2013,yes,no,,IEEE Transactions on Software Engineering
Code smells as system-level indicators of maintainability: An empirical study,2013,no,,,Journal of Systems and Software
Quality-driven optimization of system architecture: Industrial case study on an automotive sub-system,2013,no,,,Journal of Systems and Software
Cloud engineering is Search Based Software Engineering too,2013,no,,,Journal of Systems and Software
Predicting failure-proneness in an evolving software product line,2013,yes,no,,Information and Software Technology
Object-oriented class maintainability prediction using internal quality attributes,2013,no,,,Information and Software Technology
Affinity-aware modeling of CPU usage with communicating virtual machines,2013,no,,,Journal of Systems and Software
A fuzzy expert system for cost-effective regression testing strategies,2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Evaluating usefulness of software metrics: An industrial experience report,2013,no,,,Proceedings - International Conference on Software Engineering
An empirical study of API stability and adoption in the android ecosystem,2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Active Learning and effort estimation: Finding the essential content of software effort estimation data,2013,no,,,IEEE Transactions on Software Engineering
Empirical evaluation of the effects of mixed project data on learning defect predictors,2013,yes,no,,Information and Software Technology
The design of bug fixes,2013,no,,,Proceedings - International Conference on Software Engineering
Software effort models should be assessed via leave-one-out validation,2013,no,,,Journal of Systems and Software
A novel approach to collaborative testing in a crowdsourcing environment,2013,no,,,Journal of Systems and Software
Two-dimensional warranty with reliability-based preventive maintenance,2013,no,,,IEEE Transactions on Reliability
The crosscutting impact of the AOSD Brazilian research community,2013,no,,,Journal of Systems and Software
The impact of classifier configuration and classifier combination on bug localization,2013,no,,,IEEE Transactions on Software Engineering
Evidence of software inspection on feature specification for software product lines,2013,no,,,Journal of Systems and Software
Applying a smoothing filter to improve IR-based traceability recovery processes: An empirical investigation,2013,no,,,Information and Software Technology
An analysis of machine learning algorithms for condensing reverse engineered class diagrams,2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
A learning-based method for combining testing techniques,2013,no,,,Proceedings - International Conference on Software Engineering
Towards automated testing and fixing of re-engineered Feature Models,2013,no,,,Proceedings - International Conference on Software Engineering
Guest editorial for the special section on BEST PAPERS from the 2011 conference on Predictive models in software engineering (PROMISE),2013,no,,,Information and Software Technology
An observable and controllable testing framework for modern systems,2013,no,,,Proceedings - International Conference on Software Engineering
A mapping study to investigate component-based software system metrics,2013,no,,,Journal of Systems and Software
A computational framework for prioritization of events in fault tree analysis under interval-valued probabilities,2013,no,,,IEEE Transactions on Reliability
Predicting bug-fixing time: An empirical study of commercial software projects,2013,no,,,Proceedings - International Conference on Software Engineering
A large-scale empirical study of just-in-time quality assurance,2013,yes,no,,IEEE Transactions on Software Engineering
A second replicated quantitative analysis of fault distributions in complex software systems,2013,no,,,IEEE Transactions on Software Engineering
Mining SQL injection and cross site scripting vulnerabilities using hybrid program analysis,2013,no,,,Proceedings - International Conference on Software Engineering
"How we design interfaces, and how to assess it",2013,no,,,"IEEE International Conference on Software Maintenance, ICSM"
Where should we fix this bug? A two-phase recommendation model,2013,no,,,IEEE Transactions on Software Engineering
